#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2207196573e-01    3.2527887416e-01   -1.0296846292e+00    5.0761266351e-01    3.3755436698e-01   -1.3672389962e+00    3.2040000000e+03    7.2605806684e-03    6.4946161049e-01
         1   -5.2388064574e-01    5.8943445797e-01   -1.0651899740e+00    5.4130932821e-01    3.4448587805e-01   -1.4096758520e+00    3.2040000000e+03    6.1273125830e-03    6.5269975031e-01
         2   -5.1862552831e-01    3.1017516567e-01   -1.0531128596e+00    5.3448733130e-01    3.4419814985e-01   -1.3973110095e+00    3.2040000000e+03    5.7295172495e-03    6.4630149813e-01
         3   -5.1388799533e-01    2.9447414981e-01   -1.0226377491e+00    5.0874975380e-01    3.5183468926e-01   -1.3744724384e+00    3.2040000000e+03    6.1487774165e-03    6.5106117353e-01
         4   -5.2186903773e-01    3.0044906639e-01   -1.0081814153e+00    4.8631237756e-01    3.2245331695e-01   -1.3306347322e+00    3.2040000000e+03    6.0551626666e-03    6.5351903870e-01
         5   -5.1983906798e-01    2.9415453811e-01   -1.0334476284e+00    5.1360856047e-01    3.3888325862e-01   -1.3723308871e+00    3.2040000000e+03    5.8019168337e-03    6.5585986267e-01
         6   -5.1651258723e-01    2.9398380988e-01   -1.0180796010e+00    5.0156701375e-01    3.0982816420e-01   -1.3279077652e+00    3.2040000000e+03    5.5483288343e-03    6.5589887640e-01
         7   -5.1804210689e-01    3.1560420676e-01   -1.0769657140e+00    5.5892360715e-01    3.4590336742e-01   -1.4228690815e+00    3.2040000000e+03    5.7125772491e-03    6.4598938826e-01
         8   -5.1541630120e-01    3.2238279763e-01   -1.0675408840e+00    5.5212458279e-01    3.4039983938e-01   -1.4079407234e+00    3.2040000000e+03    5.9575524162e-03    6.4645755306e-01
         9   -5.2451761203e-01    2.9867210307e-01   -1.0347647944e+00    5.1024718235e-01    3.4133229203e-01   -1.3760970864e+00    3.2040000000e+03    5.8350586654e-03    6.4622347066e-01
        10   -5.2947526329e-01    4.2894588541e-01   -9.8176565134e-01    4.5229038806e-01    3.2882381058e-01   -1.3105894619e+00    3.2040000000e+03    5.6527186668e-03    6.6272627965e-01
        11   -5.1971534930e-01    3.0105721985e-01   -1.0095612620e+00    4.8984591267e-01    3.2549554326e-01   -1.3350568052e+00    3.2040000000e+03    5.2961264167e-03    6.5468945069e-01
        12   -5.1966337678e-01    2.9735756297e-01   -1.0253674832e+00    5.0570410644e-01    3.2228863950e-01   -1.3476561227e+00    3.2040000000e+03    5.5841114997e-03    6.5449438202e-01
        13   -5.1626846079e-01    3.0168805049e-01   -1.0155191798e+00    4.9925071904e-01    3.2315799072e-01   -1.3386771705e+00    3.2040000000e+03    5.7430185831e-03    6.5488451935e-01
        14   -5.2400385220e-01    3.0133973365e-01   -1.0580993277e+00    5.3409547547e-01    3.3683210798e-01   -1.3949314357e+00    3.2040000000e+03    5.8088305013e-03    6.5219257179e-01
        15   -5.2577250979e-01    3.8327059649e-01   -1.0815904394e+00    5.5581792960e-01    3.3079395348e-01   -1.4123843929e+00    3.2040000000e+03    5.4795268334e-03    6.5242665418e-01
        16   -5.1853972590e-01    2.9547503864e-01   -1.0529972742e+00    5.3445754826e-01    3.3819513857e-01   -1.3911924127e+00    3.2040000000e+03    5.3468445009e-03    6.5258270911e-01
        17   -5.2560763847e-01    3.4093300975e-01   -1.0258947911e+00    5.0028715262e-01    3.3245160562e-01   -1.3583463967e+00    3.2040000000e+03    5.7997916659e-03    6.5523564295e-01
        18   -5.3884812314e-01    4.5837388534e-01   -1.0340542470e+00    4.9520612383e-01    3.2784505634e-01   -1.3618993033e+00    3.2040000000e+03    5.7224618328e-03    6.6186797753e-01
        19   -5.2093644027e-01    3.1072760106e-01   -1.0507735556e+00    5.2983711530e-01    3.4301614543e-01   -1.3937897010e+00    3.2040000000e+03    5.7607590849e-03    6.5656210986e-01
