#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.4698851037e+00    5.7386133375e+01   -1.4888587445e+01    7.4187023409e+00    2.7598916201e+00   -1.7648479065e+01    3.0000000000e+03    1.9495493500e-01    6.3888541667e-01
         1   -7.3816487496e+00    5.6746330667e+01   -1.4866811294e+01    7.4851625448e+00    2.8034936194e+00   -1.7670304914e+01    3.0000000000e+03    1.9419836601e-01    6.3596875000e-01
         2   -7.4329203808e+00    5.6835699135e+01   -1.4445372695e+01    7.0124523139e+00    2.7429545814e+00   -1.7188327276e+01    3.0000000000e+03    1.9747130600e-01    6.3941666667e-01
         3   -7.4013690096e+00    5.8472301823e+01   -1.5200787428e+01    7.7994184183e+00    2.7598429482e+00   -1.7960630376e+01    3.0000000000e+03    2.1108774400e-01    6.4151041667e-01
         4   -7.4065064844e+00    5.7356169503e+01   -1.4781532299e+01    7.3750258147e+00    2.8189667307e+00   -1.7600499030e+01    3.0000000000e+03    2.0132436900e-01    6.3684375000e-01
         5   -7.4748299787e+00    5.7258444414e+01   -1.4483881336e+01    7.0090513575e+00    2.6703909226e+00   -1.7154272259e+01    3.0000000000e+03    1.9591847200e-01    6.4150000000e-01
         6   -7.4086802539e+00    5.6849329671e+01   -1.4407216732e+01    6.9985364778e+00    2.7137389851e+00   -1.7120955717e+01    3.0000000000e+03    1.9966629699e-01    6.4104166667e-01
         7   -7.4160910536e+00    5.7499643904e+01   -1.4609013583e+01    7.1929225293e+00    2.7748255581e+00   -1.7383839141e+01    3.0000000000e+03    2.0106793199e-01    6.3862500000e-01
         8   -7.4040760184e+00    5.6531001663e+01   -1.4725683216e+01    7.3216071976e+00    2.7575769535e+00   -1.7483260170e+01    3.0000000000e+03    2.2429946400e-01    6.3782291667e-01
         9   -7.3634033412e+00    5.6023719470e+01   -1.4905048034e+01    7.5416446932e+00    2.7235988990e+00   -1.7628646933e+01    3.0000000000e+03    2.1956488000e-01    6.4067708333e-01
        10   -7.5003057506e+00    6.3752942340e+01   -1.4828586961e+01    7.3282812103e+00    2.7323264323e+00   -1.7560913393e+01    3.0000000000e+03    2.0016587400e-01    6.3910416667e-01
        11   -7.3512146312e+00    5.7029752500e+01   -1.5680932537e+01    8.3297179053e+00    2.7714036749e+00   -1.8452336211e+01    3.0000000000e+03    2.0169346000e-01    6.3961458333e-01
        12   -7.4083526021e+00    5.9219927222e+01   -1.5863459869e+01    8.4551072674e+00    2.7970760011e+00   -1.8660535871e+01    3.0000000000e+03    2.0374563799e-01    6.3701041667e-01
        13   -7.3926646138e+00    5.6516690629e+01   -1.4298969664e+01    6.9063050499e+00    2.7902876398e+00   -1.7089257303e+01    3.0000000000e+03    2.1578185901e-01    6.3748958333e-01
        14   -7.3762914074e+00    5.7870364827e+01   -1.4593536386e+01    7.2172449782e+00    2.8339822898e+00   -1.7427518675e+01    3.0000000000e+03    1.9549498800e-01    6.3723958333e-01
        15   -7.3240313631e+00    5.6249186960e+01   -1.4563795431e+01    7.2397640683e+00    2.7201634812e+00   -1.7283958913e+01    3.0000000000e+03    1.9655983800e-01    6.4297916667e-01
        16   -7.4286717738e+00    5.6608755107e+01   -1.4640929603e+01    7.2122578292e+00    2.7294063284e+00   -1.7370335931e+01    3.0000000000e+03    1.9461864700e-01    6.3822916667e-01
        17   -7.3927973746e+00    5.6591507080e+01   -1.5053823036e+01    7.6610256613e+00    2.7709359581e+00   -1.7824758994e+01    3.0000000000e+03    1.9766023500e-01    6.3894791667e-01
        18   -7.3774133045e+00    5.6961914042e+01   -1.5185386905e+01    7.8079736000e+00    2.7795755835e+00   -1.7964962488e+01    3.0000000000e+03    1.9420583700e-01    6.4066666667e-01
        19   -7.4570288772e+00    5.8884226162e+01   -1.5422810407e+01    7.9657815298e+00    2.7568783401e+00   -1.8179688747e+01    3.0000000000e+03    2.0130084100e-01    6.4137500000e-01
        20   -7.4336415765e+00    5.7351518460e+01   -1.4868636277e+01    7.4349947002e+00    2.7581721579e+00   -1.7626808435e+01    3.0000000000e+03    1.9560881901e-01    6.3871875000e-01
        21   -7.2888172858e+00    5.5737644627e+01   -1.4751742224e+01    7.4629249380e+00    2.7941298037e+00   -1.7545872027e+01    3.0000000000e+03    1.9504853700e-01    6.3836458333e-01
        22   -7.4666759451e+00    5.7951039592e+01   -1.4708800335e+01    7.2421243901e+00    2.6922329044e+00   -1.7401033240e+01    3.0000000000e+03    1.9781160200e-01    6.4082291667e-01
        23   -7.3079616426e+00    5.6515731227e+01   -1.4984608845e+01    7.6766472020e+00    2.7815858978e+00   -1.7766194742e+01    3.0000000000e+03    1.9255471000e-01    6.4007291667e-01
        24   -7.4775608888e+00    6.9084038126e+01   -1.6116879580e+01    8.6393186912e+00    2.7104954608e+00   -1.8827375041e+01    3.0000000000e+03    1.9971064599e-01    6.3876041667e-01
        25   -7.3454229195e+00    5.6265033638e+01   -1.3959105916e+01    6.6136829960e+00    2.6867554123e+00   -1.6645861328e+01    3.0000000000e+03    1.9903116600e-01    6.4618750000e-01
        26   -7.3118534925e+00    5.8084854583e+01   -1.4904062540e+01    7.5922090472e+00    2.8198295092e+00   -1.7723892049e+01    3.0000000000e+03    1.9347554100e-01    6.3913541667e-01
        27   -7.3231196299e+00    5.6430797647e+01   -1.4831351611e+01    7.5082319809e+00    2.8351471081e+00   -1.7666498719e+01    3.0000000000e+03    1.9564782800e-01    6.3792708333e-01
        28   -7.6633532253e+00    9.2883934629e+01   -1.5127065000e+01    7.4637117747e+00    2.8010181679e+00   -1.7928083168e+01    3.0000000000e+03    1.9646470300e-01    6.3982291667e-01
        29   -7.4204319838e+00    5.8269124530e+01   -1.5564570055e+01    8.1441380710e+00    2.8264822577e+00   -1.8391052312e+01    3.0000000000e+03    1.9404219900e-01    6.3582291667e-01
        30   -7.4333359327e+00    5.9101062872e+01   -1.5144619051e+01    7.7112831188e+00    2.7945608581e+00   -1.7939179910e+01    3.0000000000e+03    2.0048240300e-01    6.4002083333e-01
        31   -7.2462706034e+00    5.5050924271e+01   -1.5337116071e+01    8.0908454679e+00    2.7812854397e+00   -1.8118401511e+01    3.0000000000e+03    1.9555249100e-01    6.4005208333e-01
        32   -7.3248981085e+00    5.6113525114e+01   -1.5371339165e+01    8.0464410568e+00    2.8827531202e+00   -1.8254092285e+01    3.0000000000e+03    1.9566058900e-01    6.3910416667e-01
        33   -7.4396936312e+00    6.1835209199e+01   -1.4529694088e+01    7.0900004564e+00    2.7420055982e+00   -1.7271699686e+01    3.0000000000e+03    1.9626970499e-01    6.4131250000e-01
        34   -7.3834245445e+00    5.6791991828e+01   -1.4538911996e+01    7.1554874520e+00    2.7915580429e+00   -1.7330470039e+01    3.0000000000e+03    1.9412564300e-01    6.3930208333e-01
        35   -7.3256828675e+00    5.5838012010e+01   -1.4808997986e+01    7.4833151189e+00    2.7564306169e+00   -1.7565428603e+01    3.0000000000e+03    1.9968315400e-01    6.4294791667e-01
        36   -7.3815423490e+00    5.7551911445e+01   -1.4913756829e+01    7.5322144798e+00    2.7952930564e+00   -1.7709049885e+01    3.0000000000e+03    1.9430319899e-01    6.3866666667e-01
        37   -7.3051302029e+00    5.6857076159e+01   -1.6119803000e+01    8.8146727968e+00    2.8201734388e+00   -1.8939976438e+01    3.0000000000e+03    1.9738616901e-01    6.3461458333e-01
        38   -7.3988794058e+00    5.6605567420e+01   -1.4233733238e+01    6.8348538327e+00    2.7251313922e+00   -1.6958864631e+01    3.0000000000e+03    1.9631630000e-01    6.4147916667e-01
        39   -7.4209838689e+00    5.6986286018e+01   -1.5036194828e+01    7.6152109595e+00    2.6730121748e+00   -1.7709207003e+01    3.0000000000e+03    1.9569013199e-01    6.3993750000e-01
