#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.4558510531e+00    5.7325275987e+01   -1.4533414047e+01    7.0775629938e+00    2.7838034251e+00   -1.7317217472e+01    3.0000000000e+03    1.9185409600e-01    6.3938541667e-01
         1   -7.3347851221e+00    5.5894024658e+01   -1.4151125278e+01    6.8163401555e+00    2.7414443643e+00   -1.6892569642e+01    3.0000000000e+03    1.9149132400e-01    6.3929166667e-01
         2   -7.4228511137e+00    6.3260498169e+01   -1.4537659289e+01    7.1148081755e+00    2.7434456176e+00   -1.7281104907e+01    3.0000000000e+03    1.9816782800e-01    6.3985416667e-01
         3   -7.3610365643e+00    5.6742822987e+01   -1.4758739696e+01    7.3977031320e+00    2.7543100546e+00   -1.7513049751e+01    3.0000000000e+03    1.9036810200e-01    6.3711458333e-01
         4   -7.4446093760e+00    5.8533649945e+01   -1.4944686171e+01    7.5000767947e+00    2.7800566548e+00   -1.7724742825e+01    3.0000000000e+03    1.8826732099e-01    6.3752083333e-01
         5   -7.4266572083e+00    5.9442879303e+01   -1.4651173960e+01    7.2245167514e+00    2.7976615869e+00   -1.7448835547e+01    3.0000000000e+03    1.8959012000e-01    6.4156250000e-01
         6   -7.3329650490e+00    5.6542960678e+01   -1.3996010071e+01    6.6630450224e+00    2.7726734101e+00   -1.6768683482e+01    3.0000000000e+03    1.8977221500e-01    6.4415625000e-01
         7   -7.4549223487e+00    5.7945454955e+01   -1.4285575697e+01    6.8306533483e+00    2.7307762867e+00   -1.7016351984e+01    3.0000000000e+03    2.0358025501e-01    6.4145833333e-01
         8   -7.4013110173e+00    5.7225782348e+01   -1.4291696863e+01    6.8903858458e+00    2.7436194194e+00   -1.7035316283e+01    3.0000000000e+03    1.9439568001e-01    6.4101041667e-01
         9   -7.3642499639e+00    5.6671064570e+01   -1.4750784512e+01    7.3865345476e+00    2.7453739190e+00   -1.7496158431e+01    3.0000000000e+03    1.9014305400e-01    6.4417708333e-01
        10   -7.4084703463e+00    5.7079230485e+01   -1.4738013707e+01    7.3295433604e+00    2.7522037961e+00   -1.7490217503e+01    3.0000000000e+03    1.9024903700e-01    6.3987500000e-01
        11   -7.2589328771e+00    5.7529821539e+01   -1.5497352036e+01    8.2384191588e+00    2.7585309903e+00   -1.8255883026e+01    3.0000000000e+03    1.9141639501e-01    6.3984375000e-01
        12   -7.3225393505e+00    5.6889215305e+01   -1.4640658406e+01    7.3181190553e+00    2.7340669074e+00   -1.7374725313e+01    3.0000000000e+03    1.9097870799e-01    6.3958333333e-01
        13   -7.3287485282e+00    5.6781184136e+01   -1.3870596789e+01    6.5418482605e+00    2.7936556605e+00   -1.6664252449e+01    3.0000000000e+03    1.9303559001e-01    6.4035416667e-01
        14   -7.3646670026e+00    5.6649909786e+01   -1.4386732083e+01    7.0220650799e+00    2.7348768574e+00   -1.7121608940e+01    3.0000000000e+03    1.9066916000e-01    6.4022916667e-01
        15   -7.3912347523e+00    5.6616937144e+01   -1.5797947282e+01    8.4067125301e+00    2.7526140639e+00   -1.8550561346e+01    3.0000000000e+03    1.8919930000e-01    6.3602083333e-01
        16   -7.4171466135e+00    5.7201037632e+01   -1.4678429863e+01    7.2612832491e+00    2.7536114504e+00   -1.7432041313e+01    3.0000000000e+03    1.9078519901e-01    6.3744791667e-01
        17   -7.3724629682e+00    5.5974350192e+01   -1.4184606448e+01    6.8121434794e+00    2.7023138085e+00   -1.6886920256e+01    3.0000000000e+03    1.9195095499e-01    6.4434375000e-01
        18   -7.5823540313e+00    8.4421843188e+01   -1.5985408020e+01    8.4030539889e+00    2.8547398969e+00   -1.8840147917e+01    3.0000000000e+03    1.9284223999e-01    6.3757291667e-01
        19   -7.4438683243e+00    5.7213450284e+01   -1.5101512034e+01    7.6576437099e+00    2.8111195468e+00   -1.7912631581e+01    3.0000000000e+03    1.8945548900e-01    6.3636458333e-01
        20   -7.3864202214e+00    5.7174343448e+01   -1.4700415256e+01    7.3139950347e+00    2.8140305684e+00   -1.7514445824e+01    3.0000000000e+03    1.8961693400e-01    6.3966666667e-01
        21   -7.3567113527e+00    5.6918340134e+01   -1.5249007372e+01    7.8922960197e+00    2.8419728420e+00   -1.8090980214e+01    3.0000000000e+03    1.9078474600e-01    6.3911458333e-01
        22   -7.4373348144e+00    5.7590050959e+01   -1.4729703180e+01    7.2923683657e+00    2.7379790930e+00   -1.7467682273e+01    3.0000000000e+03    1.8864305801e-01    6.3827083333e-01
        23   -7.4797492447e+00    5.8700878841e+01   -1.5624642052e+01    8.1448928072e+00    2.7741446368e+00   -1.8398786689e+01    3.0000000000e+03    1.8837219200e-01    6.3658333333e-01
        24   -7.3425664697e+00    5.7364787019e+01   -1.5308665495e+01    7.9660990253e+00    2.7345989814e+00   -1.8043264476e+01    3.0000000000e+03    1.9436681599e-01    6.4016666667e-01
        25   -7.3793002422e+00    5.6120547527e+01   -1.3721091081e+01    6.3417908385e+00    2.7311742951e+00   -1.6452265376e+01    3.0000000000e+03    1.9057949500e-01    6.4222916667e-01
        26   -7.3777704323e+00    5.6394043689e+01   -1.4021991335e+01    6.6442209031e+00    2.7401777079e+00   -1.6762169043e+01    3.0000000000e+03    1.8961395801e-01    6.4289583333e-01
        27   -7.4292301129e+00    5.7202689881e+01   -1.4224843587e+01    6.7956134739e+00    2.7878258019e+00   -1.7012669389e+01    3.0000000000e+03    1.9058926200e-01    6.3966666667e-01
        28   -7.4553690100e+00    5.7877973515e+01   -1.4689773213e+01    7.2344042026e+00    2.8123148283e+00   -1.7502088041e+01    3.0000000000e+03    1.8945155900e-01    6.3885416667e-01
        29   -7.4020217792e+00    5.6478126895e+01   -1.4671088326e+01    7.2690665468e+00    2.7258168957e+00   -1.7396905222e+01    3.0000000000e+03    1.9470569000e-01    6.3896875000e-01
        30   -7.4541487905e+00    5.7777672024e+01   -1.4230868184e+01    6.7767193937e+00    2.7313721050e+00   -1.6962240289e+01    3.0000000000e+03    1.9290574000e-01    6.4362500000e-01
        31   -7.3879171223e+00    5.7014628549e+01   -1.4842288163e+01    7.4543710402e+00    2.7581535238e+00   -1.7600441686e+01    3.0000000000e+03    1.8893311100e-01    6.3904166667e-01
        32   -7.3545904503e+00    5.6902530392e+01   -1.4002583575e+01    6.6479931247e+00    2.7442410012e+00   -1.6746824576e+01    3.0000000000e+03    1.9240234900e-01    6.4216666667e-01
        33   -7.4079177672e+00    5.6509205555e+01   -1.4615807376e+01    7.2078896086e+00    2.7363220449e+00   -1.7352129421e+01    3.0000000000e+03    1.9193785000e-01    6.3741666667e-01
        34   -7.3584887218e+00    5.8422920874e+01   -1.5323549670e+01    7.9650609483e+00    2.7680965131e+00   -1.8091646183e+01    3.0000000000e+03    1.9137147200e-01    6.4012500000e-01
        35   -7.3806365004e+00    5.7763987144e+01   -1.4694184497e+01    7.3135479964e+00    2.7472118604e+00   -1.7441396357e+01    3.0000000000e+03    1.9675158399e-01    6.3982291667e-01
        36   -7.4249286992e+00    5.7067479589e+01   -1.4294325842e+01    6.8693971430e+00    2.7440133375e+00   -1.7038339180e+01    3.0000000000e+03    1.9276098500e-01    6.3871875000e-01
        37   -7.5151330505e+00    5.8269744831e+01   -1.4783861057e+01    7.2687280069e+00    2.7251722918e+00   -1.7509033349e+01    3.0000000000e+03    1.9211307800e-01    6.3991666667e-01
        38   -7.3511327049e+00    5.7430346297e+01   -1.4846086076e+01    7.4949533711e+00    2.8071134780e+00   -1.7653199554e+01    3.0000000000e+03    1.9907292500e-01    6.4032291667e-01
        39   -7.4643404114e+00    5.7644269352e+01   -1.5240768218e+01    7.7764278070e+00    2.7279745703e+00   -1.7968742789e+01    3.0000000000e+03    2.0599195700e-01    6.4193750000e-01
        40   -7.3996660660e+00    5.6691516798e+01   -1.3706974548e+01    6.3073084816e+00    2.7333867673e+00   -1.6440361315e+01    3.0000000000e+03    1.9528005800e-01    6.4529166667e-01
        41   -7.4554338026e+00    5.7184270353e+01   -1.4373864788e+01    6.9184309856e+00    2.6882936571e+00   -1.7062158445e+01    3.0000000000e+03    2.1663510300e-01    6.4057291667e-01
        42   -7.3856780262e+00    5.6314014616e+01   -1.4554066256e+01    7.1683882299e+00    2.7798115975e+00   -1.7333877854e+01    3.0000000000e+03    2.1862667700e-01    6.3742708333e-01
        43   -7.4823651630e+00    5.8752452710e+01   -1.4617894276e+01    7.1355291129e+00    2.7752701414e+00   -1.7393164417e+01    3.0000000000e+03    2.0286074800e-01    6.4167708333e-01
        44   -7.3336123187e+00    5.5711333442e+01   -1.5529347778e+01    8.1957354595e+00    2.8711470422e+00   -1.8400494820e+01    3.0000000000e+03    2.3560974900e-01    6.3531250000e-01
        45   -7.3511751245e+00    5.6748773486e+01   -1.4218842210e+01    6.8676670857e+00    2.7709592775e+00   -1.6989801488e+01    3.0000000000e+03    2.3113541200e-01    6.4263541667e-01
        46   -7.4403547516e+00    5.7242932703e+01   -1.4556054006e+01    7.1156992543e+00    2.7524122404e+00   -1.7308466246e+01    3.0000000000e+03    2.0731358399e-01    6.4091666667e-01
        47   -7.4192336417e+00    5.6647403601e+01   -1.4270566750e+01    6.8513331081e+00    2.7580224816e+00   -1.7028589231e+01    3.0000000000e+03    2.3931496000e-01    6.4052083333e-01
        48   -7.3688834007e+00    5.6408724270e+01   -1.5417680536e+01    8.0487971351e+00    2.7362014259e+00   -1.8153881962e+01    3.0000000000e+03    2.0028782201e-01    6.3789583333e-01
        49   -7.3759117232e+00    5.6500893276e+01   -1.4584913583e+01    7.2090018596e+00    2.7792367388e+00   -1.7364150322e+01    3.0000000000e+03    2.0436015501e-01    6.3732291667e-01
        50   -7.4390187886e+00    5.7962083376e+01   -1.5641184505e+01    8.2021657168e+00    2.7480258234e+00   -1.8389210329e+01    3.0000000000e+03    1.8845439900e-01    6.3968750000e-01
        51   -7.3588174022e+00    5.6991060513e+01   -1.4336893534e+01    6.9780761316e+00    2.7799977461e+00   -1.7116891280e+01    3.0000000000e+03    1.9094841700e-01    6.4102083333e-01
        52   -7.4198554267e+00    5.7512333623e+01   -1.4712484744e+01    7.2926293178e+00    2.7740095985e+00   -1.7486494343e+01    3.0000000000e+03    1.8821189301e-01    6.3951041667e-01
        53   -7.4658564332e+00    5.8864396210e+01   -1.4521894961e+01    7.0560385275e+00    2.7521502014e+00   -1.7274045162e+01    3.0000000000e+03    1.9152317899e-01    6.4143750000e-01
        54   -7.5431293771e+00    5.8995222411e+01   -1.5244819261e+01    7.7016898840e+00    2.7110644494e+00   -1.7955883710e+01    3.0000000000e+03    2.0457070801e-01    6.3906250000e-01
        55   -7.4519341112e+00    5.7284747069e+01   -1.4698726468e+01    7.2467923569e+00    2.7092190080e+00   -1.7407945476e+01    3.0000000000e+03    1.9197502200e-01    6.4043750000e-01
        56   -7.3890492484e+00    5.6336151996e+01   -1.4090039753e+01    6.7009905044e+00    2.7358831440e+00   -1.6825922897e+01    3.0000000000e+03    2.2885311801e-01    6.4038541667e-01
        57   -7.4569753679e+00    5.7226951625e+01   -1.4644997328e+01    7.1880219602e+00    2.7835582802e+00   -1.7428555608e+01    3.0000000000e+03    2.1049600400e-01    6.3783333333e-01
        58   -7.5342241041e+00    6.1613071222e+01   -1.4858272902e+01    7.3240487982e+00    2.7302591753e+00   -1.7588532078e+01    3.0000000000e+03    2.1368101300e-01    6.4129166667e-01
        59   -7.3778750894e+00    5.6843369089e+01   -1.4568924575e+01    7.1910494852e+00    2.7642001466e+00   -1.7333124721e+01    3.0000000000e+03    2.4747335601e-01    6.4036458333e-01
        60   -7.4355776735e+00    5.7859576167e+01   -1.4197028717e+01    6.7614510432e+00    2.6874623097e+00   -1.6884491026e+01    3.0000000000e+03    1.9663067600e-01    6.4370833333e-01
        61   -7.3940871331e+00    5.8199460975e+01   -1.5709849516e+01    8.3157623825e+00    2.8097653221e+00   -1.8519614838e+01    3.0000000000e+03    2.3183160801e-01    6.3786458333e-01
        62   -7.4362527171e+00    5.7678923536e+01   -1.4079465452e+01    6.6432127353e+00    2.6995918410e+00   -1.6779057293e+01    3.0000000000e+03    2.1161572600e-01    6.4163541667e-01
        63   -7.3590637005e+00    5.7161760463e+01   -1.5160069571e+01    7.8010058701e+00    2.7819295423e+00   -1.7941999113e+01    3.0000000000e+03    2.0781984499e-01    6.3845833333e-01
        64   -7.4542403245e+00    5.7520946705e+01   -1.4687495334e+01    7.2332550093e+00    2.7667408664e+00   -1.7454236200e+01    3.0000000000e+03    2.2780646299e-01    6.3841666667e-01
        65   -7.3430072488e+00    5.5652323322e+01   -1.4289268553e+01    6.9462613041e+00    2.7683655841e+00   -1.7057634137e+01    3.0000000000e+03    2.1409859901e-01    6.4100000000e-01
        66   -7.4617055014e+00    5.7807552420e+01   -1.4714737184e+01    7.2530316822e+00    2.7834115189e+00   -1.7498148702e+01    3.0000000000e+03    2.0867534600e-01    6.3620833333e-01
        67   -7.4441160019e+00    5.7850259386e+01   -1.5024102806e+01    7.5799868042e+00    2.7336450984e+00   -1.7757747904e+01    3.0000000000e+03    2.0435569399e-01    6.4161458333e-01
        68   -7.4154526007e+00    5.7587658566e+01   -1.4119968185e+01    6.7045155845e+00    2.6924560611e+00   -1.6812424246e+01    3.0000000000e+03    2.2754738500e-01    6.4350000000e-01
        69   -7.4173057360e+00    5.7710333793e+01   -1.4806830417e+01    7.3895246810e+00    2.8014599906e+00   -1.7608290408e+01    3.0000000000e+03    2.5371635800e-01    6.3870833333e-01
        70   -7.4057460842e+00    5.7684096419e+01   -1.5270067982e+01    7.8643218982e+00    2.7835764713e+00   -1.8053644454e+01    3.0000000000e+03    1.8830516600e-01    6.3977083333e-01
        71   -7.3867329474e+00    5.7393579038e+01   -1.4258185085e+01    6.8714521371e+00    2.7169505030e+00   -1.6975135587e+01    3.0000000000e+03    1.9002304100e-01    6.4304166667e-01
        72   -7.4474133064e+00    5.7866303769e+01   -1.5049769464e+01    7.6023561576e+00    2.7538071125e+00   -1.7803576577e+01    3.0000000000e+03    1.8840005000e-01    6.3951041667e-01
        73   -7.4769179330e+00    5.8362402997e+01   -1.5627263086e+01    8.1503451535e+00    2.7918311208e+00   -1.8419094207e+01    3.0000000000e+03    1.9493372701e-01    6.3936458333e-01
        74   -7.4232108066e+00    5.6982329405e+01   -1.4974158569e+01    7.5509477619e+00    2.8241674132e+00   -1.7798325982e+01    3.0000000000e+03    1.9857651700e-01    6.3587500000e-01
        75   -7.4350834478e+00    5.7475393031e+01   -1.4718000343e+01    7.2829168955e+00    2.7550966846e+00   -1.7473097028e+01    3.0000000000e+03    2.0158773800e-01    6.3926041667e-01
        76   -7.4460256765e+00    5.7410032698e+01   -1.4513424747e+01    7.0673990705e+00    2.7710977035e+00   -1.7284522451e+01    3.0000000000e+03    2.1190413600e-01    6.3759375000e-01
        77   -7.4312718609e+00    5.7254450836e+01   -1.5387681656e+01    7.9564097952e+00    2.7403884033e+00   -1.8128070059e+01    3.0000000000e+03    2.0601035900e-01    6.4030208333e-01
        78   -7.4124424255e+00    5.7627135018e+01   -1.4736788851e+01    7.3243464255e+00    2.6847192057e+00   -1.7421508057e+01    3.0000000000e+03    2.0124619901e-01    6.4225000000e-01
        79   -7.4044315508e+00    5.7387457829e+01   -1.4708911039e+01    7.3044794883e+00    2.7188315193e+00   -1.7427742558e+01    3.0000000000e+03    2.3743800999e-01    6.3945833333e-01
        80   -7.4740436079e+00    5.8054862845e+01   -1.5181759097e+01    7.7077154886e+00    2.7579012139e+00   -1.7939660310e+01    3.0000000000e+03    1.9889247100e-01    6.3951041667e-01
        81   -7.4548283091e+00    5.7919108238e+01   -1.5334174017e+01    7.8793457082e+00    2.7969666922e+00   -1.8131140710e+01    3.0000000000e+03    2.0299841599e-01    6.3566666667e-01
        82   -7.2848155239e+00    5.7003130183e+01   -1.5191387290e+01    7.9065717660e+00    2.7981434890e+00   -1.7989530779e+01    3.0000000000e+03    2.4594030900e-01    6.3957291667e-01
        83   -7.4819567962e+00    5.8198354530e+01   -1.4746928640e+01    7.2649718434e+00    2.7103678656e+00   -1.7457296505e+01    3.0000000000e+03    2.2825910000e-01    6.4005208333e-01
