#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.5456662998e+00    5.7362884178e+01   -1.3371832167e+01    5.8261658671e+00    2.3695784670e+00   -1.5741410634e+01    1.2800000000e+02    7.9828159996e-03    6.4990234375e-01
         1   -7.4577748846e+00    5.5733086960e+01   -1.5275515828e+01    7.8177409437e+00    2.4058681884e+00   -1.7681384017e+01    1.2800000000e+02    7.9552249999e-03    6.4990234375e-01
         2   -7.4748696874e+00    5.6060374696e+01   -1.6016081138e+01    8.5412114502e+00    2.6572413581e+00   -1.8673322496e+01    1.2800000000e+02    8.5981760003e-03    6.4843750000e-01
         3   -7.3595131111e+00    5.4335900828e+01   -1.3454508286e+01    6.0949951744e+00    2.6827716630e+00   -1.6137279949e+01    1.2800000000e+02    7.9701810000e-03    6.3623046875e-01
         4   -7.4180891354e+00    5.5363812154e+01   -1.3255214059e+01    5.8371249240e+00    2.3236582194e+00   -1.5578872279e+01    1.2800000000e+02    8.1466250003e-03    6.4257812500e-01
         5   -7.5042233945e+00    5.6537010263e+01   -1.3684672453e+01    6.1804490587e+00    2.7252236990e+00   -1.6409896152e+01    1.2800000000e+02    7.9220429998e-03    6.4306640625e-01
         6   -7.5892419733e+00    5.7962116267e+01   -1.5909844294e+01    8.3206023207e+00    2.9150350992e+00   -1.8824879393e+01    1.2800000000e+02    8.0697160001e-03    6.2353515625e-01
         7   -7.4239856309e+00    5.5314512179e+01   -1.8968686336e+01    1.1544700705e+01    2.8970193949e+00   -2.1865705731e+01    1.2800000000e+02    7.8157380003e-03    6.3281250000e-01
         8   -7.4688628505e+00    5.5983139434e+01   -1.4466813275e+01    6.9979504245e+00    2.4580558507e+00   -1.6924869126e+01    1.2800000000e+02    7.8367650003e-03    6.2402343750e-01
         9   -7.6367977053e+00    5.8661482691e+01   -1.6358220728e+01    8.7214230223e+00    2.8156013681e+00   -1.9173822096e+01    1.2800000000e+02    7.8608519998e-03    6.2451171875e-01
        10   -7.3163079090e+00    5.3687529253e+01   -1.2223149237e+01    4.9068413279e+00    2.6671820194e+00   -1.4890331256e+01    1.2800000000e+02    8.2038730006e-03    6.3623046875e-01
        11   -7.4539985440e+00    5.5788860264e+01   -1.2270467258e+01    4.8164687138e+00    2.4945976575e+00   -1.4765064915e+01    1.2800000000e+02    8.0015249996e-03    6.5087890625e-01
        12   -7.5308515029e+00    5.6953634034e+01   -1.6024037587e+01    8.4931860845e+00    2.3917414095e+00   -1.8415778997e+01    1.2800000000e+02    8.0054000000e-03    6.2597656250e-01
        13   -7.4042340802e+00    5.4987821799e+01   -1.5090215117e+01    7.6859810368e+00    2.9255581760e+00   -1.8015773293e+01    1.2800000000e+02    7.9033259999e-03    6.2158203125e-01
        14   -7.5095739600e+00    5.6596500550e+01   -1.2270868423e+01    4.7612944627e+00    2.3697521464e+00   -1.4640620569e+01    1.2800000000e+02    8.0401030000e-03    6.5136718750e-01
        15   -7.5691224052e+00    5.7547414988e+01   -1.4274442744e+01    6.7053203387e+00    2.7148822941e+00   -1.6989325038e+01    1.2800000000e+02    7.9204240001e-03    6.3427734375e-01
        16   -7.4474349094e+00    5.5665128376e+01   -1.3100385792e+01    5.6529508822e+00    2.3076873796e+00   -1.5408073171e+01    1.2800000000e+02    8.3287810003e-03    6.5966796875e-01
        17   -7.3901109868e+00    5.4791069179e+01   -1.1495006202e+01    4.1048952156e+00    2.3253093691e+00   -1.3820315571e+01    1.2800000000e+02    8.0991900004e-03    6.4941406250e-01
        18   -7.2898156454e+00    5.3300192303e+01   -1.2905578121e+01    5.6157624752e+00    2.7765888600e+00   -1.5682166981e+01    1.2800000000e+02    8.0774940006e-03    6.3232421875e-01
        19   -7.4896823288e+00    5.6288018354e+01   -1.2397403740e+01    4.9077214111e+00    2.5094481729e+00   -1.4906851913e+01    1.2800000000e+02    7.9893809998e-03    6.4501953125e-01
        20   -7.4557858891e+00    5.5741755866e+01   -1.3085982779e+01    5.6301968904e+00    2.5385143721e+00   -1.5624497152e+01    1.2800000000e+02    8.0201740002e-03    6.7919921875e-01
        21   -7.4080049301e+00    5.5081735388e+01   -1.5408011293e+01    8.0000063631e+00    2.4143690952e+00   -1.7822380388e+01    1.2800000000e+02    8.8150410002e-03    6.3330078125e-01
        22   -7.5597638929e+00    5.7567545300e+01   -1.4975838810e+01    7.4160749171e+00    2.6516174903e+00   -1.7627456300e+01    1.2800000000e+02    8.5051719998e-03    6.5576171875e-01
        23   -7.4239255790e+00    5.5463606261e+01   -1.5903972758e+01    8.4800471793e+00    2.6604185682e+00   -1.8564391327e+01    1.2800000000e+02    8.1638259999e-03    6.2060546875e-01
        24   -7.5441636851e+00    5.7061999350e+01   -1.4761182994e+01    7.2170193090e+00    2.4133666547e+00   -1.7174549649e+01    1.2800000000e+02    8.0404390001e-03    6.3574218750e-01
        25   -7.3574135702e+00    5.4341226219e+01   -1.4475547720e+01    7.1181341498e+00    2.3511079212e+00   -1.6826655641e+01    1.2800000000e+02    8.8796250002e-03    6.4746093750e-01
        26   -7.3666421334e+00    5.4436762063e+01   -1.1755298511e+01    4.3886563772e+00    2.4289585738e+00   -1.4184257084e+01    1.2800000000e+02    8.2896360000e-03    6.5234375000e-01
        27   -7.5402453610e+00    5.7033353609e+01   -1.4690453673e+01    7.1502083124e+00    2.5182182927e+00   -1.7208671966e+01    1.2800000000e+02    8.2853880003e-03    6.3476562500e-01
        28   -7.4812490527e+00    5.6257814163e+01   -1.3473565930e+01    5.9923168774e+00    2.6050330961e+00   -1.6078599026e+01    1.2800000000e+02    8.1998520000e-03    6.4697265625e-01
        29   -7.5922961140e+00    5.7908136015e+01   -1.7721980149e+01    1.0129684035e+01    2.7508931411e+00   -2.0472873290e+01    1.2800000000e+02    8.0208370000e-03    6.2744140625e-01
        30   -7.5982473154e+00    5.7940138087e+01   -1.8797036287e+01    1.1198788972e+01    2.5752658511e+00   -2.1372302138e+01    1.2800000000e+02    8.1434229996e-03    6.3964843750e-01
        31   -7.4217134742e+00    5.5245342498e+01   -1.3322702340e+01    5.9009888662e+00    2.6126979855e+00   -1.5935400326e+01    1.2800000000e+02    7.9603790000e-03    6.2597656250e-01
        32   -7.7947284302e+00    6.1202466416e+01   -1.5769887418e+01    7.9751589882e+00    2.9894745795e+00   -1.8759361998e+01    1.2800000000e+02    7.8931720000e-03    6.3378906250e-01
        33   -7.5327030798e+00    5.7025938952e+01   -1.3191592600e+01    5.6588895206e+00    2.6212463011e+00   -1.5812838901e+01    1.2800000000e+02    8.0583360004e-03    6.5136718750e-01
        34   -7.3272695731e+00    5.3858801647e+01   -1.3117198702e+01    5.7899291288e+00    2.7301220214e+00   -1.5847320723e+01    1.2800000000e+02    8.1551710000e-03    6.4257812500e-01
        35   -7.3864271791e+00    5.4702136712e+01   -1.2994876146e+01    5.6084489670e+00    2.8578005855e+00   -1.5852676732e+01    1.2800000000e+02    8.3366629997e-03    6.2695312500e-01
        36   -7.3984415610e+00    5.4924128544e+01   -1.2519743185e+01    5.1213016242e+00    2.5027693484e+00   -1.5022512534e+01    1.2800000000e+02    7.8540490003e-03    6.3427734375e-01
