#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6183272182e+00    5.8283200961e+01   -2.3694383180e+01    1.6076055961e+01    2.6799138295e+00   -2.6374297009e+01    1.2800000000e+02    7.8112490000e-03    6.3183593750e-01
         1   -7.6585868596e+00    5.8872756887e+01   -1.9266351232e+01    1.1607764372e+01    2.6749104809e+00   -2.1941261713e+01    1.2800000000e+02    7.7448969996e-03    6.2011718750e-01
         2   -7.4943540615e+00    5.6405053953e+01   -1.4001960046e+01    6.5076059846e+00    2.5933249791e+00   -1.6595285025e+01    1.2800000000e+02    7.7722750002e-03    6.4404296875e-01
         3   -7.3771260812e+00    5.4542504898e+01   -1.1039328412e+01    3.6622023313e+00    2.4265787326e+00   -1.3465907145e+01    1.2800000000e+02    7.9123469995e-03    6.6943359375e-01
         4   -7.5907482026e+00    5.8004335195e+01   -1.5034154515e+01    7.4434063125e+00    2.4621741515e+00   -1.7496328667e+01    1.2800000000e+02    7.8007040001e-03    6.4941406250e-01
         5   -7.5649672578e+00    5.7449447440e+01   -2.4718403964e+01    1.7153436707e+01    2.5444864710e+00   -2.7262890435e+01    1.2800000000e+02    7.7691190008e-03    6.3476562500e-01
         6   -7.4272552984e+00    5.5331941856e+01   -1.1888494535e+01    4.4612392368e+00    2.3023341854e+00   -1.4190828721e+01    1.2800000000e+02    7.7066949998e-03    6.4746093750e-01
         7   -7.5120246957e+00    5.6706633626e+01   -1.6143092609e+01    8.6310679134e+00    2.6051427390e+00   -1.8748235348e+01    1.2800000000e+02    7.7607059993e-03    6.2988281250e-01
         8   -7.3872944532e+00    5.4686872033e+01   -1.0888486758e+01    3.5011923052e+00    2.6272526360e+00   -1.3515739394e+01    1.2800000000e+02    7.8552949999e-03    6.6650390625e-01
         9   -7.4385603387e+00    5.5481455997e+01   -1.4295551576e+01    6.8569912376e+00    2.6520441284e+00   -1.6947595705e+01    1.2800000000e+02    7.7747969999e-03    6.4208984375e-01
        10   -7.4526003341e+00    5.5692098291e+01   -1.2274035170e+01    4.8214348363e+00    2.5774734593e+00   -1.4851508630e+01    1.2800000000e+02    7.8948000000e-03    6.8164062500e-01
        11   -7.5261110301e+00    5.6825977165e+01   -1.5231553775e+01    7.7054427446e+00    2.7039303889e+00   -1.7935484164e+01    1.2800000000e+02    7.7388650006e-03    6.2695312500e-01
        12   -7.5417196694e+00    5.7208877319e+01   -1.4891252837e+01    7.3495331672e+00    2.7932609017e+00   -1.7684513738e+01    1.2800000000e+02    7.6908149995e-03    6.3525390625e-01
        13   -7.5008820785e+00    5.6474206002e+01   -1.6569660135e+01    9.0687780560e+00    2.9520657422e+00   -1.9521725877e+01    1.2800000000e+02    7.7254480002e-03    6.2841796875e-01
        14   -7.5738943481e+00    5.7714993695e+01   -1.4668236340e+01    7.0943419923e+00    2.6419944201e+00   -1.7310230760e+01    1.2800000000e+02    7.7617210000e-03    6.3671875000e-01
        15   -7.6536450739e+00    5.8986401168e+01   -2.2798273163e+01    1.5144628089e+01    3.3919060499e+00   -2.6190179213e+01    1.2800000000e+02    7.5541740007e-03    5.9667968750e-01
        16   -7.5108930010e+00    5.6683746883e+01   -2.0934983670e+01    1.3424090669e+01    2.5002863452e+00   -2.3435270016e+01    1.2800000000e+02    7.7672010002e-03    6.4648437500e-01
        17   -7.4518980672e+00    5.5683172232e+01   -1.2537926339e+01    5.0860282717e+00    2.7373389868e+00   -1.5275265326e+01    1.2800000000e+02    7.7957419999e-03    6.4208984375e-01
        18   -7.6416702329e+00    5.8784964243e+01   -1.5957836020e+01    8.3161657869e+00    3.2096996071e+00   -1.9167535627e+01    1.2800000000e+02    7.7139019995e-03    6.2158203125e-01
        19   -7.4054708700e+00    5.4967745251e+01   -1.4067058225e+01    6.6615873555e+00    2.7209883537e+00   -1.6788046579e+01    1.2800000000e+02    7.8605220006e-03    6.6406250000e-01
        20   -7.3292509012e+00    5.3824409630e+01   -1.1852297582e+01    4.5230466810e+00    2.6274374078e+00   -1.4479734990e+01    1.2800000000e+02    7.8166400008e-03    6.4892578125e-01
        21   -7.4204308872e+00    5.5237290726e+01   -1.2738032854e+01    5.3176019669e+00    2.4980483862e+00   -1.5236081240e+01    1.2800000000e+02    7.8072050001e-03    6.4550781250e-01
        22   -7.4391182538e+00    5.5574607194e+01   -1.4451741801e+01    7.0126235468e+00    2.8029989949e+00   -1.7254740795e+01    1.2800000000e+02    7.7154569999e-03    6.2011718750e-01
        23   -7.5956386557e+00    5.7944974267e+01   -2.0205657379e+01    1.2610018724e+01    2.8229807556e+00   -2.3028638135e+01    1.2800000000e+02    7.8004140005e-03    6.4306640625e-01
        24   -7.5478036732e+00    5.7218430104e+01   -1.4586474987e+01    7.0386713135e+00    2.5471282503e+00   -1.7133603237e+01    1.2800000000e+02    7.7687209996e-03    6.3720703125e-01
        25   -7.5483253470e+00    5.7197907470e+01   -1.4269013596e+01    6.7206882494e+00    2.6580323381e+00   -1.6927045934e+01    1.2800000000e+02    7.7963249996e-03    6.4599609375e-01
        26   -7.5949202434e+00    5.8064615360e+01   -1.6550411835e+01    8.9554915913e+00    2.8812637737e+00   -1.9431675608e+01    1.2800000000e+02    7.7523640002e-03    6.1816406250e-01
        27   -7.4274222474e+00    5.5382211898e+01   -1.3285685763e+01    5.8582635153e+00    2.4178593270e+00   -1.5703545090e+01    1.2800000000e+02    7.7581409996e-03    6.5136718750e-01
        28   -7.4191904100e+00    5.5241228757e+01   -1.9085027094e+01    1.1665836684e+01    2.9605084650e+00   -2.2045535559e+01    1.2800000000e+02    7.7461139999e-03    6.2744140625e-01
        29   -7.4651536048e+00    5.5961625508e+01   -1.2326668132e+01    4.8615145272e+00    2.6289427705e+00   -1.4955610903e+01    1.2800000000e+02    8.1654010000e-03    6.4892578125e-01
        30   -7.3973026473e+00    5.4906938597e+01   -1.6222088166e+01    8.8247855188e+00    2.7637974987e+00   -1.8985885665e+01    1.2800000000e+02    8.2481419995e-03    6.5478515625e-01
        31   -7.6226847875e+00    5.8469890669e+01   -1.5733143828e+01    8.1104590402e+00    2.8049716093e+00   -1.8538115437e+01    1.2800000000e+02    7.9398050002e-03    6.3330078125e-01
        32   -7.3575707567e+00    5.4343682716e+01   -1.4140570451e+01    6.7829996939e+00    2.4533385038e+00   -1.6593908954e+01    1.2800000000e+02    7.7614070005e-03    6.3281250000e-01
        33   -7.4761001417e+00    5.6092505596e+01   -1.9013219111e+01    1.1537118969e+01    3.2320701508e+00   -2.2245289262e+01    1.2800000000e+02    8.6032669997e-03    6.3574218750e-01
        34   -7.5182066486e+00    5.6842800662e+01   -1.4948042868e+01    7.4298362194e+00    2.9852673927e+00   -1.7933310261e+01    1.2800000000e+02    7.7739290000e-03    6.1767578125e-01
        35   -7.3932075918e+00    5.4751102328e+01   -1.2874999285e+01    5.4817916935e+00    2.6420632761e+00   -1.5517062561e+01    1.2800000000e+02    1.0035863999e-02    6.3085937500e-01
        36   -7.4230522481e+00    5.5374364603e+01   -1.3097087997e+01    5.6740357491e+00    2.5271307227e+00   -1.5624218720e+01    1.2800000000e+02    7.8537760000e-03    6.4550781250e-01
        37   -7.4602186783e+00    5.5868232794e+01   -1.2103961700e+01    4.6437430218e+00    2.4219585438e+00   -1.4525920244e+01    1.2800000000e+02    9.3863290003e-03    6.6406250000e-01
        38   -7.4202186712e+00    5.5204480093e+01   -1.5052348831e+01    7.6321301597e+00    2.7451541435e+00   -1.7797502974e+01    1.2800000000e+02    8.3991639995e-03    6.4746093750e-01
        39   -7.5752624925e+00    5.7621263240e+01   -1.6627445116e+01    9.0521826237e+00    2.6592755105e+00   -1.9286720627e+01    1.2800000000e+02    8.9264690005e-03    6.5429687500e-01
        40   -7.4103046673e+00    5.5139592544e+01   -1.6407080681e+01    8.9967760134e+00    2.8009056025e+00   -1.9207986283e+01    1.2800000000e+02    7.8397529996e-03    6.3671875000e-01
        41   -7.5267044362e+00    5.6910634019e+01   -1.2635492132e+01    5.1087876955e+00    2.4525421333e+00   -1.5088034265e+01    1.2800000000e+02    7.8749169998e-03    6.6162109375e-01
        42   -7.6543615888e+00    5.8988110267e+01   -1.5554368263e+01    7.9000066738e+00    2.5921440759e+00   -1.8146512339e+01    1.2800000000e+02    7.8423560008e-03    6.3427734375e-01
