#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.4076696681e+00    5.6418703338e+01   -1.5261114563e+01    7.8534448947e+00    2.7303996960e+00   -1.7991514259e+01    3.0000000000e+03    2.9305333900e-01    6.4060416667e-01
         1   -7.4419814290e+00    5.6554997318e+01   -1.4360044613e+01    6.9180631843e+00    2.7232199492e+00   -1.7083264562e+01    3.0000000000e+03    2.9119521500e-01    6.3867708333e-01
         2   -7.3916126077e+00    5.6353579391e+01   -1.4448179744e+01    7.0565671368e+00    2.7985734251e+00   -1.7246753170e+01    3.0000000000e+03    2.7235756000e-01    6.4021875000e-01
         3   -7.4098056112e+00    5.6614375178e+01   -1.4476787835e+01    7.0669822242e+00    2.7291222177e+00   -1.7205910053e+01    3.0000000000e+03    2.7810212100e-01    6.4291666667e-01
         4   -7.4562692704e+00    5.6789651598e+01   -1.4768244293e+01    7.3119750228e+00    2.7396034070e+00   -1.7507847700e+01    3.0000000000e+03    2.7585963300e-01    6.3902083333e-01
         5   -7.4122274812e+00    5.6207870900e+01   -1.3955711629e+01    6.5434841474e+00    2.7112529567e+00   -1.6666964585e+01    3.0000000000e+03    2.6667422500e-01    6.4485416667e-01
         6   -7.4012244557e+00    5.6278051670e+01   -1.4788833352e+01    7.3876088961e+00    2.7123421920e+00   -1.7501175544e+01    3.0000000000e+03    3.0486875800e-01    6.4093750000e-01
         7   -7.4017646528e+00    5.6043895057e+01   -1.4160635310e+01    6.7588706569e+00    2.8101702707e+00   -1.6970805580e+01    3.0000000000e+03    2.8079713400e-01    6.3936458333e-01
         8   -7.3808302435e+00    5.6179843651e+01   -1.4787376070e+01    7.4065458263e+00    2.8248713096e+00   -1.7612247379e+01    3.0000000000e+03    2.7411161500e-01    6.3907291667e-01
         9   -7.4507412995e+00    5.6773331135e+01   -1.4681751895e+01    7.2310105957e+00    2.7067997269e+00   -1.7388551622e+01    3.0000000000e+03    2.9252540900e-01    6.4039583333e-01
        10   -7.4274863298e+00    5.6578638640e+01   -1.4242396978e+01    6.8149106479e+00    2.7379019528e+00   -1.6980298930e+01    3.0000000000e+03    2.6768353000e-01    6.4013541667e-01
        11   -7.3726829704e+00    5.6139564849e+01   -1.4152023656e+01    6.7793406855e+00    2.7630577725e+00   -1.6915081428e+01    3.0000000000e+03    2.6598946900e-01    6.3933333333e-01
        12   -7.4476607612e+00    5.6535275471e+01   -1.4342901861e+01    6.8952411002e+00    2.6863787602e+00   -1.7029280622e+01    3.0000000000e+03    2.6889656200e-01    6.3857291667e-01
        13   -7.4477576671e+00    5.6626755932e+01   -1.5958633446e+01    8.5108757791e+00    2.8058401511e+00   -1.8764473597e+01    3.0000000000e+03    2.7862863100e-01    6.3807291667e-01
        14   -7.4572971149e+00    5.6866331251e+01   -1.4724700929e+01    7.2674038144e+00    2.7096327197e+00   -1.7434333649e+01    3.0000000000e+03    2.8591230600e-01    6.4062500000e-01
        15   -7.3683620015e+00    5.7417873800e+01   -1.5461607073e+01    8.0932450711e+00    2.8092696473e+00   -1.8270876720e+01    3.0000000000e+03    2.8604669100e-01    6.3841666667e-01
        16   -7.3949434682e+00    5.6844568006e+01   -1.5536006584e+01    8.1410631154e+00    2.8436963295e+00   -1.8379702913e+01    3.0000000000e+03    2.6731432800e-01    6.3666666667e-01
        17   -7.4416458998e+00    5.6579467199e+01   -1.5475492172e+01    8.0338462722e+00    2.8247207502e+00   -1.8300212922e+01    3.0000000000e+03    2.9257950000e-01    6.3548958333e-01
        18   -7.4204588283e+00    5.6599417780e+01   -1.3637799006e+01    6.2173401777e+00    2.7333729804e+00   -1.6371171986e+01    3.0000000000e+03    3.1359179100e-01    6.4098958333e-01
        19   -7.3964156444e+00    5.7324406707e+01   -1.4651552247e+01    7.2551366027e+00    2.7691801182e+00   -1.7420732365e+01    3.0000000000e+03    3.0266471100e-01    6.4343750000e-01
        20   -7.4598937878e+00    5.7068220354e+01   -1.5239251416e+01    7.7793576283e+00    2.7743090656e+00   -1.8013560482e+01    3.0000000000e+03    2.8022698100e-01    6.3722916667e-01
        21   -7.4416749102e+00    5.6721460517e+01   -1.4295455236e+01    6.8537803254e+00    2.7493579195e+00   -1.7044813155e+01    3.0000000000e+03    3.2066908800e-01    6.4181250000e-01
        22   -7.4601196910e+00    5.7273341468e+01   -1.5058842920e+01    7.5987232290e+00    2.7239562437e+00   -1.7782799164e+01    3.0000000000e+03    2.6372317900e-01    6.3918750000e-01
        23   -7.4673950929e+00    5.7148004724e+01   -1.5554384146e+01    8.0869890528e+00    2.7464090726e+00   -1.8300793218e+01    3.0000000000e+03    2.8910470700e-01    6.4007291667e-01
        24   -7.3893718592e+00    5.6391769593e+01   -1.4748196402e+01    7.3588245433e+00    2.7776057662e+00   -1.7525802169e+01    3.0000000000e+03    2.6061869900e-01    6.3626041667e-01
        25   -7.4192577759e+00    5.6565998035e+01   -1.4576186266e+01    7.1569284896e+00    2.7536655758e+00   -1.7329851841e+01    3.0000000000e+03    2.8582332700e-01    6.3981250000e-01
        26   -7.3862074902e+00    5.6189712823e+01   -1.4427467287e+01    7.0412597966e+00    2.7389630744e+00   -1.7166430361e+01    3.0000000000e+03    2.7703059300e-01    6.4095833333e-01
        27   -7.4285183779e+00    5.6484078238e+01   -1.4203143149e+01    6.7746247712e+00    2.7396423446e+00   -1.6942785494e+01    3.0000000000e+03    3.0249841900e-01    6.4402083333e-01
        28   -7.4700425263e+00    5.6951579365e+01   -1.4556098221e+01    7.0860556946e+00    2.6907999406e+00   -1.7246898161e+01    3.0000000000e+03    2.9369300900e-01    6.4173958333e-01
        29   -7.3835536640e+00    5.6202372687e+01   -1.4393121115e+01    7.0095674514e+00    2.8063307709e+00   -1.7199451886e+01    3.0000000000e+03    2.9666129000e-01    6.3979166667e-01
        30   -7.4496812193e+00    5.7000510911e+01   -1.5276265273e+01    7.8265840536e+00    2.7652407182e+00   -1.8041505991e+01    3.0000000000e+03    2.8251151800e-01    6.3970833333e-01
        31   -7.4324830276e+00    5.6380490374e+01   -1.4428786296e+01    6.9963032682e+00    2.6994114241e+00   -1.7128197720e+01    3.0000000000e+03    3.3685026700e-01    6.4161458333e-01
        32   -7.4477617258e+00    5.6707306339e+01   -1.4807640667e+01    7.3598789407e+00    2.7117741207e+00   -1.7519414787e+01    3.0000000000e+03    2.9416230300e-01    6.4322916667e-01
        33   -7.4383989980e+00    5.7279464073e+01   -1.4739702564e+01    7.3013035663e+00    2.7375450563e+00   -1.7477247621e+01    3.0000000000e+03    2.8224346100e-01    6.3917708333e-01
        34   -7.4199995287e+00    5.6576328854e+01   -1.4735571359e+01    7.3155718307e+00    2.7519303928e+00   -1.7487501752e+01    3.0000000000e+03    2.8093776600e-01    6.4206250000e-01
        35   -7.4121838841e+00    5.6256632994e+01   -1.3854501566e+01    6.4423176819e+00    2.7346173334e+00   -1.6589118899e+01    3.0000000000e+03    3.1987068300e-01    6.4544791667e-01
        36   -7.4138134158e+00    5.6936591778e+01   -1.4276966516e+01    6.8631531002e+00    2.7586316549e+00   -1.7035598171e+01    3.0000000000e+03    2.8583447800e-01    6.4120833333e-01
        37   -7.4453962570e+00    5.6703774722e+01   -1.5341684473e+01    7.8962882155e+00    2.7709901803e+00   -1.8112674653e+01    3.0000000000e+03    2.9630048300e-01    6.4010416667e-01
        38   -7.4221633816e+00    5.6430428055e+01   -1.4315135896e+01    6.8929725144e+00    2.7492499763e+00   -1.7064385872e+01    3.0000000000e+03    3.0421595000e-01    6.3703125000e-01
        39   -7.4459116338e+00    5.6708829543e+01   -1.5118663135e+01    7.6727515011e+00    2.7483179935e+00   -1.7866981128e+01    3.0000000000e+03    2.8119888500e-01    6.4073958333e-01
        40   -7.3703095778e+00    5.5585606603e+01   -1.4328934937e+01    6.9586253594e+00    2.7621374215e+00   -1.7091072359e+01    3.0000000000e+03    3.1661792700e-01    6.4230208333e-01
