#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.4714847310e+00    5.7556345273e+01   -1.5814772129e+01    8.3432873984e+00    2.7348164274e+00   -1.8549588557e+01    3.0000000000e+03    3.1649794700e-01    6.3975000000e-01
         1   -7.4226015993e+00    5.6645818709e+01   -1.5013753078e+01    7.5911514785e+00    2.7800005562e+00   -1.7793753634e+01    3.0000000000e+03    2.8600678200e-01    6.4100000000e-01
         2   -7.3584760926e+00    6.2008136181e+01   -1.4767716748e+01    7.4092406550e+00    2.8177034890e+00   -1.7585420237e+01    3.0000000000e+03    3.6400917800e-01    6.4076041667e-01
         3   -7.4153426196e+00    5.6414375316e+01   -1.4058737417e+01    6.6433947971e+00    2.7204287378e+00   -1.6779166154e+01    3.0000000000e+03    2.9920248700e-01    6.4108333333e-01
         4   -7.4257822157e+00    6.2039071997e+01   -1.5407534725e+01    7.9817525089e+00    2.7827573425e+00   -1.8190292067e+01    3.0000000000e+03    2.7218175200e-01    6.4034375000e-01
         5   -7.4733537695e+00    5.7266338625e+01   -1.4540281530e+01    7.0669277602e+00    2.7271067587e+00   -1.7267388288e+01    3.0000000000e+03    2.5582787800e-01    6.4160416667e-01
         6   -7.4796831266e+00    5.7404202829e+01   -1.5199408450e+01    7.7197253230e+00    2.7431032291e+00   -1.7942511679e+01    3.0000000000e+03    2.5786076000e-01    6.4112500000e-01
         7   -7.4248061667e+00    5.6333504344e+01   -1.5026383009e+01    7.6015768421e+00    2.7532212460e+00   -1.7779604255e+01    3.0000000000e+03    2.6440953000e-01    6.3984375000e-01
         8   -7.4259125530e+00    5.6262416101e+01   -1.4381305344e+01    6.9553927912e+00    2.6884991139e+00   -1.7069804458e+01    3.0000000000e+03    2.5729702200e-01    6.4192708333e-01
         9   -7.4100983627e+00    5.7025150937e+01   -1.5587445169e+01    8.1773468064e+00    2.7831096624e+00   -1.8370554831e+01    3.0000000000e+03    2.5164459700e-01    6.3813541667e-01
        10   -7.3730306378e+00    5.6567882600e+01   -1.4610032348e+01    7.2370017106e+00    2.7871435970e+00   -1.7397175945e+01    3.0000000000e+03    2.5988902600e-01    6.4209375000e-01
        11   -7.4051872099e+00    5.6477416119e+01   -1.4818193232e+01    7.4130060226e+00    2.8103697261e+00   -1.7628562959e+01    3.0000000000e+03    2.7172408800e-01    6.3823958333e-01
        12   -7.3929281504e+00    5.8017015897e+01   -1.4639682537e+01    7.2467543869e+00    2.8471504986e+00   -1.7486833036e+01    3.0000000000e+03    2.5814043200e-01    6.3897916667e-01
        13   -7.3911908346e+00    5.6555075113e+01   -1.4135519935e+01    6.7443291004e+00    2.7435939078e+00   -1.6879113843e+01    3.0000000000e+03    2.5318284100e-01    6.4033333333e-01
        14   -7.4543834452e+00    5.7084060795e+01   -1.5185630056e+01    7.7312466109e+00    2.7536368836e+00   -1.7939266940e+01    3.0000000000e+03    2.5115077800e-01    6.3900000000e-01
        15   -7.4677063318e+00    5.7826024368e+01   -1.4896175919e+01    7.4284695875e+00    2.7026048022e+00   -1.7598780722e+01    3.0000000000e+03    2.6125533100e-01    6.4289583333e-01
        16   -7.4327319138e+00    5.6476177788e+01   -1.4376191111e+01    6.9434591970e+00    2.7340597033e+00   -1.7110250814e+01    3.0000000000e+03    2.6741193000e-01    6.4053125000e-01
        17   -7.4158579296e+00    5.6258005856e+01   -1.4702583042e+01    7.2867251120e+00    2.7516273640e+00   -1.7454210406e+01    3.0000000000e+03    2.5837077200e-01    6.4077083333e-01
        18   -7.3946874796e+00    5.6090201350e+01   -1.4567910542e+01    7.1732230627e+00    2.7539475688e+00   -1.7321858111e+01    3.0000000000e+03    2.7427180300e-01    6.3873958333e-01
