#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.4262368325e+00    5.7218475268e+01   -1.4701882435e+01    7.2756456021e+00    2.7632443273e+00   -1.7465126762e+01    3.0000000000e+03    2.1345789800e-01    6.3901041667e-01
         1   -7.3968944120e+00    5.8213519409e+01   -1.5530959702e+01    8.1340652896e+00    2.8102943798e+00   -1.8341254081e+01    3.0000000000e+03    2.1510542300e-01    6.3582291667e-01
         2   -7.4120060313e+00    5.7870307285e+01   -1.4801745865e+01    7.3897398333e+00    2.7494674577e+00   -1.7551213322e+01    3.0000000000e+03    2.1751808000e-01    6.3652083333e-01
         3   -7.4334187677e+00    5.6470174143e+01   -1.3972692449e+01    6.5392736809e+00    2.6890782248e+00   -1.6661770673e+01    3.0000000000e+03    2.3307255500e-01    6.4272916667e-01
         4   -7.3766883254e+00    5.5959891791e+01   -1.4171245450e+01    6.7945571249e+00    2.6980144462e+00   -1.6869259897e+01    3.0000000000e+03    2.1771507000e-01    6.4361458333e-01
         5   -7.3432973407e+00    6.3047632575e+01   -1.4518113701e+01    7.1748163602e+00    2.7960515594e+00   -1.7314165260e+01    3.0000000000e+03    2.4313683900e-01    6.3726041667e-01
         6   -7.3552701987e+00    5.5503548799e+01   -1.3830086226e+01    6.4748160276e+00    2.7655255264e+00   -1.6595611753e+01    3.0000000000e+03    2.2385824000e-01    6.4318750000e-01
         7   -7.5168663810e+00    5.8820548636e+01   -1.5308381505e+01    7.7915151243e+00    2.7323859229e+00   -1.8040767428e+01    3.0000000000e+03    2.2018033000e-01    6.3732291667e-01
         8   -7.3248322593e+00    5.5543576168e+01   -1.4341346381e+01    7.0165141218e+00    2.7237811890e+00   -1.7065127570e+01    3.0000000000e+03    2.2508181500e-01    6.4129166667e-01
         9   -7.3733939769e+00    5.6773486558e+01   -1.4512926565e+01    7.1395325876e+00    2.7358780565e+00   -1.7248804621e+01    3.0000000000e+03    2.2275907700e-01    6.4185416667e-01
        10   -7.3656384523e+00    5.6717508543e+01   -1.5289751795e+01    7.9241133426e+00    2.8298976985e+00   -1.8119649493e+01    3.0000000000e+03    2.4013639200e-01    6.3653125000e-01
        11   -7.4969947457e+00    6.0092262577e+01   -1.5399634353e+01    7.9026396078e+00    2.7582660326e+00   -1.8157900386e+01    3.0000000000e+03    2.3881570300e-01    6.3877083333e-01
        12   -7.4092623252e+00    5.6686026843e+01   -1.5328638473e+01    7.9193761473e+00    2.8116867133e+00   -1.8140325186e+01    3.0000000000e+03    2.3256681100e-01    6.3651041667e-01
        13   -7.3255436767e+00    5.6359321395e+01   -1.5010403892e+01    7.6848602156e+00    2.8190472562e+00   -1.7829451149e+01    3.0000000000e+03    2.3905903600e-01    6.3768750000e-01
        14   -7.4288741842e+00    5.6752427443e+01   -1.4178993117e+01    6.7501189326e+00    2.6921345147e+00   -1.6871127631e+01    3.0000000000e+03    2.5134608200e-01    6.4171875000e-01
        15   -7.4189196334e+00    5.7082774508e+01   -1.4365551970e+01    6.9466323365e+00    2.7586218439e+00   -1.7124173814e+01    3.0000000000e+03    2.1950335500e-01    6.3913541667e-01
        16   -7.5358950012e+00    6.4258856627e+01   -1.5456290055e+01    7.9203950537e+00    2.7864616252e+00   -1.8242751680e+01    3.0000000000e+03    2.1998661700e-01    6.3756250000e-01
        17   -7.4016665630e+00    5.7300017611e+01   -1.4828001375e+01    7.4263348120e+00    2.7581150879e+00   -1.7586116463e+01    3.0000000000e+03    2.4275174100e-01    6.3682291667e-01
        18   -7.3492958794e+00    5.6504434623e+01   -1.5070044028e+01    7.7207481487e+00    2.8244916736e+00   -1.7894535702e+01    3.0000000000e+03    2.7593376200e-01    6.3792708333e-01
        19   -7.4926182563e+00    6.8474194304e+01   -1.5274607345e+01    7.7819890887e+00    2.8024158897e+00   -1.8077023235e+01    3.0000000000e+03    2.2582713800e-01    6.3852083333e-01
        20   -7.4136678967e+00    5.6824003006e+01   -1.4595470274e+01    7.1818023769e+00    2.6913097093e+00   -1.7286779983e+01    3.0000000000e+03    2.2006273600e-01    6.3837500000e-01
        21   -7.4575254028e+00    5.7383823502e+01   -1.5123885618e+01    7.6663602148e+00    2.8070997324e+00   -1.7930985350e+01    3.0000000000e+03    2.1863301200e-01    6.3465625000e-01
        22   -7.4404514771e+00    5.7568706037e+01   -1.4383871372e+01    6.9434198945e+00    2.6850840626e+00   -1.7068955434e+01    3.0000000000e+03    2.4449805900e-01    6.4489583333e-01
        23   -7.4051536218e+00    5.9459356063e+01   -1.4247030527e+01    6.8418769047e+00    2.7384960620e+00   -1.6985526588e+01    3.0000000000e+03    2.3993596000e-01    6.4189583333e-01
        24   -7.4742947134e+00    5.7797180483e+01   -1.4551508458e+01    7.0772137444e+00    2.8058798533e+00   -1.7357388311e+01    3.0000000000e+03    2.4157616900e-01    6.3980208333e-01
        25   -7.3394609607e+00    5.5654980649e+01   -1.4224543882e+01    6.8850829210e+00    2.7530655530e+00   -1.6977609435e+01    3.0000000000e+03    2.3299796800e-01    6.4280208333e-01
        26   -7.4364995981e+00    5.7193133456e+01   -1.4705722650e+01    7.2692230523e+00    2.7201023020e+00   -1.7425824952e+01    3.0000000000e+03    2.6349058000e-01    6.4148958333e-01
        27   -7.4059861277e+00    5.7352294545e+01   -1.4604494262e+01    7.1985081346e+00    2.8362951844e+00   -1.7440789447e+01    3.0000000000e+03    2.4577066000e-01    6.3712500000e-01
        28   -7.3911911364e+00    5.6850818056e+01   -1.5060882493e+01    7.6696913565e+00    2.7788160299e+00   -1.7839698523e+01    3.0000000000e+03    2.4908225700e-01    6.3950000000e-01
        29   -7.4076348980e+00    5.7047419854e+01   -1.5200451664e+01    7.7928167662e+00    2.7877935595e+00   -1.7988245224e+01    3.0000000000e+03    2.2830112600e-01    6.3725000000e-01
        30   -7.3623847590e+00    5.6670224438e+01   -1.5052366944e+01    7.6899821855e+00    2.7774070115e+00   -1.7829773956e+01    3.0000000000e+03    2.3671475800e-01    6.3710416667e-01
        31   -7.3583323355e+00    5.6396059796e+01   -1.4464173927e+01    7.1058415910e+00    2.7358951815e+00   -1.7200069108e+01    3.0000000000e+03    2.2379698300e-01    6.4135416667e-01
        32   -7.4416916702e+00    5.8109730170e+01   -1.5406622086e+01    7.9649304155e+00    2.7670234653e+00   -1.8173645551e+01    3.0000000000e+03    2.4461525800e-01    6.3904166667e-01
        33   -7.3372296437e+00    5.5679905789e+01   -1.4757852725e+01    7.4206230808e+00    2.7445933508e+00   -1.7502446075e+01    3.0000000000e+03    2.5697747500e-01    6.4047916667e-01
        34   -8.1084196776e+00    2.6328597582e+02   -1.6427449912e+01    8.3190302345e+00    2.7798331753e+00   -1.9207283087e+01    3.0000000000e+03    2.5656949300e-01    6.3579166667e-01
