#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.3669911456e+00    5.7283792258e+01   -1.4382297517e+01    7.0153063710e+00    2.7525998904e+00   -1.7134897407e+01    3.0000000000e+03    2.6098687800e-01    6.3893750000e-01
         1   -7.4477604468e+00    5.6934064968e+01   -1.4877300177e+01    7.4295397306e+00    2.7461967833e+00   -1.7623496961e+01    3.0000000000e+03    2.5152568900e-01    6.3840625000e-01
         2   -7.3904311057e+00    5.6911954743e+01   -1.4510595699e+01    7.1201645932e+00    2.7748794203e+00   -1.7285475119e+01    3.0000000000e+03    2.4293168200e-01    6.3567708333e-01
         3   -7.3519953977e+00    5.6687165731e+01   -1.4815233928e+01    7.4632385308e+00    2.7927432194e+00   -1.7607977148e+01    3.0000000000e+03    2.2757536600e-01    6.3782291667e-01
         4   -7.4040186557e+00    5.6847199882e+01   -1.4297914833e+01    6.8938961777e+00    2.7476293315e+00   -1.7045544165e+01    3.0000000000e+03    2.3165037400e-01    6.4166666667e-01
         5   -7.4087767761e+00    5.6765641333e+01   -1.5159022808e+01    7.7502460324e+00    2.7833949298e+00   -1.7942417738e+01    3.0000000000e+03    2.9364447600e-01    6.3918750000e-01
         6   -7.3999066259e+00    5.7091083497e+01   -1.4970207025e+01    7.5703003989e+00    2.7805357085e+00   -1.7750742733e+01    3.0000000000e+03    2.8811573200e-01    6.3811458333e-01
         7   -7.3487157984e+00    5.6028169974e+01   -1.4253134570e+01    6.9044187714e+00    2.7805052561e+00   -1.7033639826e+01    3.0000000000e+03    2.3407109400e-01    6.4334375000e-01
         8   -7.4052978634e+00    5.8872781639e+01   -1.5073313729e+01    7.6680158658e+00    2.8209983913e+00   -1.7894312121e+01    3.0000000000e+03    2.4573772300e-01    6.3884375000e-01
         9   -7.3492173830e+00    5.9965072497e+01   -1.4577453011e+01    7.2282356277e+00    2.8170549803e+00   -1.7394507991e+01    3.0000000000e+03    2.2447002600e-01    6.4117708333e-01
        10   -7.3513179540e+00    5.6191190270e+01   -1.4145219843e+01    6.7939018886e+00    2.7704815838e+00   -1.6915701426e+01    3.0000000000e+03    2.2074819700e-01    6.4266666667e-01
        11   -7.4157890912e+00    5.8702309453e+01   -1.5179534930e+01    7.7637458392e+00    2.7356598114e+00   -1.7915194742e+01    3.0000000000e+03    2.2015812900e-01    6.3928125000e-01
        12   -7.4968779196e+00    5.7805450798e+01   -1.4544675030e+01    7.0477971101e+00    2.7284727318e+00   -1.7273147761e+01    3.0000000000e+03    2.3867217700e-01    6.4287500000e-01
        13   -7.1757684229e+00    7.0304259951e+01   -1.5337076948e+01    8.1613085248e+00    2.9200233250e+00   -1.8257100273e+01    3.0000000000e+03    2.2123128600e-01    6.3727083333e-01
        14   -7.3985857619e+00    5.7139988780e+01   -1.4332731447e+01    6.9341456848e+00    2.7031763615e+00   -1.7035907808e+01    3.0000000000e+03    2.2222632500e-01    6.3979166667e-01
        15   -7.3803227065e+00    5.6573777599e+01   -1.4813121458e+01    7.4327987517e+00    2.7150886583e+00   -1.7528210117e+01    3.0000000000e+03    2.2581174300e-01    6.4102083333e-01
        16   -7.4558722707e+00    5.7429855939e+01   -1.4449119214e+01    6.9932469434e+00    2.7835382456e+00   -1.7232657460e+01    3.0000000000e+03    2.2050165200e-01    6.3916666667e-01
        17   -7.4270177703e+00    5.8054999907e+01   -1.5507569948e+01    8.0805521775e+00    2.7157060557e+00   -1.8223276004e+01    3.0000000000e+03    2.3680988400e-01    6.3862500000e-01
        18   -7.3573798412e+00    5.6795672542e+01   -1.4616906814e+01    7.2595269729e+00    2.7669017702e+00   -1.7383808584e+01    3.0000000000e+03    2.2352910300e-01    6.3834375000e-01
        19   -7.4204297092e+00    5.7332264065e+01   -1.4828432319e+01    7.4080026098e+00    2.7058971697e+00   -1.7534329489e+01    3.0000000000e+03    2.1975260100e-01    6.4327083333e-01
        20   -7.5858524266e+00    6.0729707418e+01   -1.4970538884e+01    7.3846864570e+00    2.7070529853e+00   -1.7677591869e+01    3.0000000000e+03    2.2284289400e-01    6.3760416667e-01
        21   -7.2819279554e+00    5.6087029715e+01   -1.4721800555e+01    7.4398725995e+00    2.6988156696e+00   -1.7420616224e+01    3.0000000000e+03    2.4277853500e-01    6.3994791667e-01
        22   -7.3866118103e+00    5.6727462322e+01   -1.4697586145e+01    7.3109743346e+00    2.7740970377e+00   -1.7471683182e+01    3.0000000000e+03    2.1998434300e-01    6.3912500000e-01
        23   -7.4347843938e+00    5.7136015356e+01   -1.4496374018e+01    7.0615896240e+00    2.6755436909e+00   -1.7171917709e+01    3.0000000000e+03    2.3657224100e-01    6.4290625000e-01
        24   -7.3855372300e+00    5.6754574477e+01   -1.4938934430e+01    7.5533972002e+00    2.7564059327e+00   -1.7695340363e+01    3.0000000000e+03    2.2441337800e-01    6.3957291667e-01
        25   -7.3820449697e+00    5.8101221282e+01   -1.5177774947e+01    7.7957299769e+00    2.7629388851e+00   -1.7940713832e+01    3.0000000000e+03    2.3307608400e-01    6.3860416667e-01
        26   -7.4015700565e+00    5.7020409330e+01   -1.5691177178e+01    8.2896071217e+00    2.7730830630e+00   -1.8464260241e+01    3.0000000000e+03    2.1927858100e-01    6.3788541667e-01
        27   -7.2395024319e+00    5.6685705710e+01   -1.6106894749e+01    8.8673923176e+00    2.8540672245e+00   -1.8960961974e+01    3.0000000000e+03    2.2922829000e-01    6.3421875000e-01
        28   -7.4615667445e+00    5.7522832092e+01   -1.4795708882e+01    7.3341421373e+00    2.7519280467e+00   -1.7547636928e+01    3.0000000000e+03    2.2124582100e-01    6.4051041667e-01
        29   -7.4542677035e+00    5.7452165138e+01   -1.4543639081e+01    7.0893713773e+00    2.7379165760e+00   -1.7281555657e+01    3.0000000000e+03    2.4024255900e-01    6.4151041667e-01
        30   -7.4105154340e+00    5.7117665491e+01   -1.4552359365e+01    7.1418439307e+00    2.6957839445e+00   -1.7248143309e+01    3.0000000000e+03    2.2736533300e-01    6.4361458333e-01
        31   -7.4223827981e+00    5.6308251428e+01   -1.4445702304e+01    7.0233195057e+00    2.7110139208e+00   -1.7156716225e+01    3.0000000000e+03    2.2208933400e-01    6.4072916667e-01
        32   -7.4512602857e+00    5.6447117642e+01   -1.3817908886e+01    6.3666486004e+00    2.6405206253e+00   -1.6458429511e+01    3.0000000000e+03    2.1735590800e-01    6.4278125000e-01
        33   -7.5236445887e+00    6.0330707168e+01   -1.5732746068e+01    8.2091014791e+00    2.7645504130e+00   -1.8497296481e+01    3.0000000000e+03    2.4629411300e-01    6.3850000000e-01
        34   -7.3211849493e+00    5.6014544739e+01   -1.4156062084e+01    6.8348771347e+00    2.8031619467e+00   -1.6959224031e+01    3.0000000000e+03    2.2301203400e-01    6.4123958333e-01
        35   -7.3781409424e+00    5.6033076509e+01   -1.4486970204e+01    7.1088292618e+00    2.7733899382e+00   -1.7260360142e+01    3.0000000000e+03    2.3060006300e-01    6.3942708333e-01
        36   -7.3906359904e+00    5.7476874514e+01   -1.4560390337e+01    7.1697543462e+00    2.7402205420e+00   -1.7300610879e+01    3.0000000000e+03    2.2694624500e-01    6.4075000000e-01
        37   -7.3915212885e+00    5.6207044659e+01   -1.4531343338e+01    7.1398220500e+00    2.7201400135e+00   -1.7251483352e+01    3.0000000000e+03    2.4456786700e-01    6.4228125000e-01
        38   -7.1885890443e+00    5.6612695793e+01   -1.6905680819e+01    9.7170917748e+00    2.8444144869e+00   -1.9750095306e+01    3.0000000000e+03    2.4211827500e-01    6.3917708333e-01
        39   -7.4270470561e+00    5.7102188810e+01   -1.4317334886e+01    6.8902878297e+00    2.7174290397e+00   -1.7034763925e+01    3.0000000000e+03    2.2499882300e-01    6.4018750000e-01
        40   -7.4509263549e+00    5.8107072289e+01   -1.5082684046e+01    7.6317576915e+00    2.7376893845e+00   -1.7820373431e+01    3.0000000000e+03    2.4044314500e-01    6.3944791667e-01
        41   -7.3285638588e+00    5.6384234523e+01   -1.5125665456e+01    7.7971015976e+00    2.7916600784e+00   -1.7917325535e+01    3.0000000000e+03    2.4003402200e-01    6.3830208333e-01
        42   -7.3183384761e+00    5.5664816868e+01   -1.4214942354e+01    6.8966038779e+00    2.6984788802e+00   -1.6913421234e+01    3.0000000000e+03    2.3709868100e-01    6.4166666667e-01
        43   -7.4714156649e+00    5.8300780318e+01   -1.5198668886e+01    7.7272532212e+00    2.8044486065e+00   -1.8003117493e+01    3.0000000000e+03    2.4063296300e-01    6.3697916667e-01
