#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.4160962435e+00    5.7641342248e+01   -1.4852505912e+01    7.4364096687e+00    2.9546868795e+00   -1.7807192792e+01    3.0000000000e+03    2.0641879701e-01    6.3658333333e-01
         1   -7.3947381016e+00    5.6497691958e+01   -1.4751594004e+01    7.3568559023e+00    2.9036811501e+00   -1.7655275154e+01    3.0000000000e+03    2.0512095300e-01    6.3697916667e-01
         2   -7.3148315959e+00    5.7726316077e+01   -1.5355963079e+01    8.0411314832e+00    2.9548670190e+00   -1.8310830098e+01    3.0000000000e+03    2.0565419001e-01    6.3540625000e-01
         3   -7.3601253830e+00    5.8431389488e+01   -1.4791848710e+01    7.4317233266e+00    2.9250630581e+00   -1.7716911768e+01    3.0000000000e+03    2.0305599000e-01    6.3712500000e-01
         4   -7.3885977439e+00    5.9426881620e+01   -1.5006107124e+01    7.6175093799e+00    2.9834945355e+00   -1.7989601659e+01    3.0000000000e+03    2.0477828399e-01    6.3522916667e-01
         5   -7.4693492901e+00    5.7876892569e+01   -1.4956309143e+01    7.4869598525e+00    2.9095256378e+00   -1.7865834780e+01    3.0000000000e+03    2.0394331000e-01    6.3450000000e-01
         6   -7.4079506289e+00    5.6380136004e+01   -1.4108215315e+01    6.7002646864e+00    2.9201195829e+00   -1.7028334898e+01    3.0000000000e+03    2.1036517000e-01    6.3706250000e-01
         7   -7.4588643169e+00    5.7628060901e+01   -1.4483218036e+01    7.0243537193e+00    2.8305747148e+00   -1.7313792751e+01    3.0000000000e+03    2.0471345499e-01    6.3879166667e-01
         8   -7.3780457928e+00    5.6271310921e+01   -1.4470743290e+01    7.0926974968e+00    2.9660871891e+00   -1.7436830479e+01    3.0000000000e+03    2.0385440100e-01    6.3387500000e-01
         9   -7.3462995856e+00    5.7134389726e+01   -1.4862955778e+01    7.5166561920e+00    2.9569587682e+00   -1.7819914546e+01    3.0000000000e+03    2.0529918601e-01    6.3526041667e-01
        10   -7.3973969365e+00    5.7053081145e+01   -1.5273292638e+01    7.8758957015e+00    2.9886667708e+00   -1.8261959409e+01    3.0000000000e+03    2.0533298000e-01    6.3371875000e-01
        11   -7.3960777962e+00    5.6392116431e+01   -1.4573560692e+01    7.1774828960e+00    2.9177989087e+00   -1.7491359601e+01    3.0000000000e+03    2.0756831201e-01    6.3598958333e-01
        12   -7.4164312218e+00    5.7140347362e+01   -1.4697538081e+01    7.2811068592e+00    2.9542388199e+00   -1.7651776901e+01    3.0000000000e+03    2.0402795600e-01    6.3670833333e-01
        13   -7.3658579769e+00    5.6139337090e+01   -1.4312076862e+01    6.9462188856e+00    2.9621138759e+00   -1.7274190738e+01    3.0000000000e+03    2.0251645900e-01    6.3492708333e-01
        14   -7.4349735074e+00    5.7494484302e+01   -1.4872458417e+01    7.4374849096e+00    2.9297968705e+00   -1.7802255287e+01    3.0000000000e+03    2.0292035201e-01    6.3620833333e-01
        15   -7.4611706706e+00    5.7708314833e+01   -1.5324271314e+01    7.8631006436e+00    2.9551882573e+00   -1.8279459572e+01    3.0000000000e+03    2.0319056200e-01    6.3532291667e-01
        16   -7.4390142338e+00    5.7415535913e+01   -1.4397185488e+01    6.9581712539e+00    2.9563129194e+00   -1.7353498407e+01    3.0000000000e+03    2.0386928301e-01    6.3784375000e-01
