#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.5688149923e+00    5.7587152966e+01   -1.8796241075e+01    1.1227426083e+01    2.2302703672e+00   -2.1026511442e+01    8.0000000000e+02    4.2520399000e-02    5.7250000000e-01
         1   -7.6454901013e+00    5.8831006734e+01   -1.7388013780e+01    9.7425236788e+00    2.1645298696e+00   -1.9552543650e+01    8.0000000000e+02    4.2257505000e-02    5.7143750000e-01
         2   -7.5557541556e+00    5.7365854172e+01   -1.3675904257e+01    6.1201501017e+00    1.8075022890e+00   -1.5483406546e+01    8.0000000000e+02    4.2422527000e-02    5.8106250000e-01
         3   -7.7285471153e+00    6.0078711851e+01   -1.5941715872e+01    8.2131687565e+00    2.0391361121e+00   -1.7980851984e+01    8.0000000000e+02    4.2334191000e-02    5.7275000000e-01
         4   -7.6006180429e+00    5.8047811061e+01   -1.5263350202e+01    7.6627321592e+00    2.0195011531e+00   -1.7282851355e+01    8.0000000000e+02    4.2496922000e-02    5.7975000000e-01
         5   -7.5278174735e+00    5.6940915930e+01   -1.4480477346e+01    6.9526598722e+00    2.0754865711e+00   -1.6555963917e+01    8.0000000000e+02    4.2104659000e-02    5.7056250000e-01
         6   -7.5986493333e+00    5.8129044151e+01   -1.5713100756e+01    8.1144514224e+00    2.0453828809e+00   -1.7758483637e+01    8.0000000000e+02    4.2110938000e-02    5.7137500000e-01
         7   -7.5761422024e+00    5.7668272525e+01   -1.2965189526e+01    5.3890473235e+00    1.8191436781e+00   -1.4784333204e+01    8.0000000000e+02    4.1897001000e-02    5.7412500000e-01
         8   -7.5578683178e+00    5.7339959628e+01   -1.5200166882e+01    7.6422985639e+00    1.9740015537e+00   -1.7174168435e+01    8.0000000000e+02    4.1945020000e-02    5.7768750000e-01
         9   -7.5412610639e+00    5.7141162649e+01   -1.4400419861e+01    6.8591587976e+00    1.8578882108e+00   -1.6258308072e+01    8.0000000000e+02    4.2252291000e-02    5.8443750000e-01
        10   -7.5323228173e+00    5.6956580791e+01   -1.4254447976e+01    6.7221251586e+00    2.0206389111e+00   -1.6275086887e+01    8.0000000000e+02    4.2211493000e-02    5.8262500000e-01
        11   -7.5255239224e+00    5.6893920566e+01   -1.4998592451e+01    7.4730685289e+00    2.0582581590e+00   -1.7056850610e+01    8.0000000000e+02    4.2092978000e-02    5.7375000000e-01
        12   -7.6472751435e+00    5.8760311363e+01   -1.4341709466e+01    6.6944343224e+00    2.0295316655e+00   -1.6371241131e+01    8.0000000000e+02    4.1898788000e-02    5.7137500000e-01
        13   -7.5355817411e+00    5.7023587047e+01   -1.3620782609e+01    6.0852008679e+00    1.9527057667e+00   -1.5573488376e+01    8.0000000000e+02    4.2219350000e-02    5.7975000000e-01
        14   -7.6147204897e+00    5.8281625606e+01   -1.3888232922e+01    6.2735124319e+00    2.1578164878e+00   -1.6046049409e+01    8.0000000000e+02    4.1859252000e-02    5.7150000000e-01
        15   -7.4950055194e+00    5.6411346475e+01   -1.3413475251e+01    5.9184697318e+00    1.8948761018e+00   -1.5308351353e+01    8.0000000000e+02    4.2103405000e-02    5.8031250000e-01
        16   -7.6481710779e+00    5.8830326798e+01   -1.7060430547e+01    9.4122594691e+00    2.0307985182e+00   -1.9091229065e+01    8.0000000000e+02    4.4988239000e-02    5.7543750000e-01
        17   -7.5399115831e+00    5.7106943259e+01   -1.3766330041e+01    6.2264184583e+00    2.0284890427e+00   -1.5794819084e+01    8.0000000000e+02    4.2070071000e-02    5.7443750000e-01
        18   -7.5722766833e+00    5.7634222225e+01   -1.4713808740e+01    7.1415320572e+00    2.0602473926e+00   -1.6774056133e+01    8.0000000000e+02    4.2036245000e-02    5.7162500000e-01
        19   -7.5816448310e+00    5.7721774219e+01   -1.5028087497e+01    7.4464426656e+00    1.9101827804e+00   -1.6938270277e+01    8.0000000000e+02    4.3782680000e-02    5.7775000000e-01
