#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.5400057955e+00    5.7897893685e+01   -1.4450188561e+01    6.9101827660e+00    2.2650368018e+00   -1.6715225363e+01    3.0000000000e+03    3.4219998500e-01    7.0862500000e-01
         1   -7.4804547634e+00    5.7721236245e+01   -1.4173261979e+01    6.6928072154e+00    2.2679153275e+00   -1.6441177306e+01    3.0000000000e+03    3.5777162600e-01    7.1089166667e-01
         2   -7.4770205734e+00    5.7466913731e+01   -1.4757821933e+01    7.2808013600e+00    2.3318826888e+00   -1.7089704622e+01    3.0000000000e+03    3.5340180300e-01    7.0698333333e-01
         3   -7.5380398305e+00    5.8135978596e+01   -1.5256254573e+01    7.7182147425e+00    2.3058413320e+00   -1.7562095905e+01    3.0000000000e+03    3.5175050700e-01    7.0834166667e-01
         4   -7.5708524572e+00    5.8571144090e+01   -1.5019180568e+01    7.4483281103e+00    2.2754700014e+00   -1.7294650569e+01    3.0000000000e+03    3.9754314300e-01    7.0762500000e-01
         5   -7.5367995835e+00    5.8096499352e+01   -1.4401830324e+01    6.8650307408e+00    2.2482440639e+00   -1.6650074388e+01    3.0000000000e+03    3.4147848500e-01    7.0860000000e-01
         6   -7.5845385516e+00    5.8868786583e+01   -1.4571539870e+01    6.9870013189e+00    2.2610493155e+00   -1.6832589186e+01    3.0000000000e+03    3.7978270900e-01    7.0730000000e-01
         7   -7.5121678474e+00    5.7594946911e+01   -1.4081207827e+01    6.5690399791e+00    2.2830642986e+00   -1.6364272125e+01    3.0000000000e+03    3.8812122600e-01    7.0798333333e-01
         8   -7.5508739752e+00    5.8508126275e+01   -1.5002320882e+01    7.4514469066e+00    2.3273740419e+00   -1.7329694924e+01    3.0000000000e+03    3.5943744700e-01    7.0615000000e-01
         9   -7.5150956168e+00    5.8002575003e+01   -1.5042124469e+01    7.5270288525e+00    2.2379671862e+00   -1.7280091655e+01    3.0000000000e+03    3.3890160700e-01    7.1098333333e-01
        10   -7.5157058479e+00    5.8273552318e+01   -1.5733936975e+01    8.2182311274e+00    2.3163568220e+00   -1.8050293797e+01    3.0000000000e+03    3.4104080400e-01    7.0547500000e-01
        11   -7.5759037473e+00    5.8639883412e+01   -1.5945433929e+01    8.3695301815e+00    2.2488637263e+00   -1.8194297655e+01    3.0000000000e+03    4.0203825100e-01    7.0956666667e-01
