#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.5107280808e+00    5.9157754573e+01   -1.4974801641e+01    7.4640735602e+00    2.2112046987e+00   -1.7186006340e+01    3.0000000000e+03    3.1994425700e-01    7.1119166667e-01
         1   -7.5134744564e+00    5.9589265297e+01   -1.4843341875e+01    7.3298674185e+00    2.2472903041e+00   -1.7090632179e+01    3.0000000000e+03    3.3225965600e-01    7.0941666667e-01
         2   -7.4882837204e+00    5.7755758063e+01   -1.4498135667e+01    7.0098519470e+00    2.2956018005e+00   -1.6793737468e+01    3.0000000000e+03    4.1778433600e-01    7.0936666667e-01
         3   -7.4962708875e+00    5.8364402770e+01   -1.4603929342e+01    7.1076584544e+00    2.3399868659e+00   -1.6943916208e+01    3.0000000000e+03    3.2962344500e-01    7.0621666667e-01
         4   -7.5153841694e+00    5.9042080678e+01   -1.5551716185e+01    8.0363320156e+00    2.2969806238e+00   -1.7848696809e+01    3.0000000000e+03    3.1677334300e-01    7.0700000000e-01
         5   -7.4791269168e+00    5.8971920856e+01   -1.4414004645e+01    6.9348777284e+00    2.2869664113e+00   -1.6700971056e+01    3.0000000000e+03    2.9411633500e-01    7.1045833333e-01
         6   -7.4745792550e+00    5.7876078058e+01   -1.4418243068e+01    6.9436638133e+00    2.2661792069e+00   -1.6684422275e+01    3.0000000000e+03    3.3654503100e-01    7.0885000000e-01
         7   -7.5979207978e+00    6.1861384497e+01   -1.5251499303e+01    7.6535785048e+00    2.2827405142e+00   -1.7534239817e+01    3.0000000000e+03    3.3996402300e-01    7.0854166667e-01
         8   -7.4695107031e+00    5.8229874198e+01   -1.4461201982e+01    6.9916912793e+00    2.2655928363e+00   -1.6726794819e+01    3.0000000000e+03    3.3795309400e-01    7.1148333333e-01
         9   -7.5151990861e+00    5.8517844066e+01   -1.4909864559e+01    7.3946654734e+00    2.2645182328e+00   -1.7174382792e+01    3.0000000000e+03    3.2703590600e-01    7.0907500000e-01
        10   -7.4853029438e+00    5.8512303251e+01   -1.4920655203e+01    7.4353522596e+00    2.2155837433e+00   -1.7136238947e+01    3.0000000000e+03    2.9903799700e-01    7.1020833333e-01
        11   -7.5500796024e+00    5.9328950281e+01   -1.5205088738e+01    7.6550091358e+00    2.2734954922e+00   -1.7478584230e+01    3.0000000000e+03    3.1270817200e-01    7.0606666667e-01
        12   -7.4761122378e+00    5.7870614899e+01   -1.4442047101e+01    6.9659348630e+00    2.2470792155e+00   -1.6689126316e+01    3.0000000000e+03    3.4616923700e-01    7.0727500000e-01
        13   -7.4983262429e+00    5.7687889695e+01   -1.4199549612e+01    6.7012233689e+00    2.2978585413e+00   -1.6497408153e+01    3.0000000000e+03    3.1958304400e-01    7.0785000000e-01
        14   -7.5641414404e+00    5.9697921418e+01   -1.4917550085e+01    7.3534086445e+00    2.3116346106e+00   -1.7229184695e+01    3.0000000000e+03    3.2969648000e-01    7.0813333333e-01
        15   -7.4102399409e+00    5.8707166496e+01   -1.5247147280e+01    7.8369073389e+00    2.2370127753e+00   -1.7484160055e+01    3.0000000000e+03    3.2161901700e-01    7.0536666667e-01
        16   -7.5760389321e+00    6.6287535742e+01   -1.6121928217e+01    8.5458892853e+00    2.2605808839e+00   -1.8382509101e+01    3.0000000000e+03    3.0757911100e-01    7.0780833333e-01
